AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,AMAT,AMD,AMGN,AMZN,ANSS,ASML,AVGO,AZN,BIIB,BKNG,BKR,CCEP,CDNS,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSGP,CSX,CTAS,CTSH,DASH,DDOG,DLTR,DXCM,EA,EXC,FANG,FAST,FTNT,GILD,GOOG,GOOGL,HON,IDXX,ILMN,INTC,INTU,ISRG,KDP,KHC,KLAC,LIN,LRCX,LULU,MAR,MCHP,MDB,MDLZ,MELI,META,MNST,MRNA,MRVL,MSFT,MU,NFLX,NVDA,NXPI,ODFL,ON,ORLY,PANW,PAYX,PCAR,PDD,PEP,PYPL,QCOM,REGN,ROP,ROST,SBUX,SIRI,SNPS,TEAM,TMUS,TSLA,TTD,TXN,VRSK,VRTX,WBA,WBD,WDAY,XEL,ZS,AU10Y,BR10Y,CA10Y,CH10Y
"129,41","139,15","485,34","146,02","168,96","296,84","81,54","86,87","92,3","226,66","159,3314972","357,67",500,"42,522","50,52","242,95","2164,08","21,02","48,4","135,76","647,030029","50,51","380,15","30,1625","200,49","43,96","89,526","29,33","85,9","79,42","139,19","91,23","106,94","89,435","139,51","29,3652","48,94","23,825","29,112","60,11","86,412","86,3065","195,994345","491,77","357,7431907","49,67","371,7","266,6667","31,59","34,23","260,33","258,81","47,802","356,4","124,77","68,59","350,41","57,92",1640,"268,94","45,3","111,73","46,31","217,69","74,05","52,286","13,1135","162,04","190,69","32,67","30,26466667","58,61","90,36","37,65333333","166,78","144,27","231,92","148,5","482,86","419,55","117,07","103,1","61,7","254,7","231,56","132,43","243,2567","77,343","162,22","202,88","229,43","41,4","30,63","228,08","65,655","196,09","0,99","6,86","0,677","2,8"
"131,01","148,3","485,69","148,63","168,49","301,7","81,43","89,6","92,77","227,76","160,9255066","359,83","505,36","42,81","50,7","246,39","2188,07","21,26","48,22","136,14","636,5900269","49,98","375,74","30,0325","211,24","43,98","89,38","29,8267","87,2225","79,65","144,43","93,03","107,13","92,1875","141,32","29,32239723","53,67","24,14","28,348",60,"87,046","87,0025","196,4750236","497,26","364,688716","50,61","368,87","268,3500061","31,63999939","33,57","265,79","262,87","49,455","366,5","126,09","70,095","355,56","57,98",1650,"270,97","45,71","109,18","47,61","217,9","77,26","52,08","13,40475","165,67","191,75","33,22","30,08533333","58,35835","90,02","37,9778","187,2","144,7","234,91","152,43","483,45","419,18","117,17","103,44","62,4","258,89","234,42","131,85","245,0367","78,854","163,41","201,97","228,58","41,16","31,52","225,36","65,02","193,48","0,949","6,84","0,713","2,8"
"126,6","142,77","466,31","149,3","167,9","302,87","82,08","90,83","90,33","233,25","156,9190063","349,9","490,22","42,546","50,91","247,75","2249,81","22,16","49,04","130,64","624,5100098","50,56","370,02","29,45","208,85","44,4","89,67","30,62","87,7475","80,15","140,01","91,33","112,97","93,98","136,8","30,2782","56,32","24,55","27,622","61,95","86,7645","86,144","200,0565504","483,6","366,2937743","51,1",361,"264,2633362","31,76","33,94","265,21","271,5","49,649","363,25","129,39","71,44","335,3","57,87","1571,98","263,31","45,35","116,26","46,51","212,25","77,11","50,049","12,6145","168,72","193,3","34,06","31,012","57,54665","91,15","39,47113333","176,75","142,93","226,83","151,19","470,09","423,4","122,29","104,19","65,2","249,7","224,48","131,53","251,9933","74,061","164,22","200,06","226,65","43,03","34,25",220,"66,46","184,42","1,061","7,04","0,758","2,81"
"130,92","151,27","477,74","155,61","168,85","315,2","79,89","94,56","95,16","234,02","158,1080017","365,02","501,43","44,339","50,19","250,44","2239,85","22,67","50,45","137,05","629,7700195","50,66","367,92","30,2175","221,47","44,96","90,548","31,3433","88,765","80,95","152,77","96,64","114,75","96,79","140,74","29,97860146","56,79","24,855","28,65","62,52","89,3625","88,717","200,3864279","495,19","371,9941634","52,19","368,63","269,4033203","31,8","33,695","278,19","270,72","51,446","367,29","130,35","74,35","351,67","57,76","1597,97","268,74","46,75","115,09","49,02","218,29","79,11","50,889","13,344","174,99","201,96","35,36","31,32666667","60,51835","91,53","39,28886667","180,12","142,47","235,04","155,7","481,2","430,58","122,02","103,35","64,2","258,84","233,38","133,19","272,0133","76,303","167,94","200,97","232,9","45,26","34,4","226,21","65,16","193,05","1,058","7,27","0,794","2,83"
"132,05","149,77","485,1","156,74","171,05","319,85","79,18","95,56","94,58","238,49","159,1349945","374,66","508,74","44,564","50,86","252,54","2281,54","22,47","51,36","136,19","634,3800049","51,54","369,94","30,545","223,73","45,06","91,952","31,9467","87,5375","81,95","156,09","99,94","112,97","97,0225","141,86","30,107","56,76","25,375","29,628","63,04","90,3605","89,8915","197,9547597","513,2","369,270428","51,65","374,46","272,9167",32,"33,62","283,18","270,4","50,163","365,46","129,69","73,7","359,86","58,19",1719,"267,57","47,49499893","112,75","49,08","219,62","77,42","51,04","13,27675","175,03","205,56","35,52","31,86133333","61,09165","92,02","39,0222","180,77","144,18","242,46","156,64","498,73","431,1","122,41","105,67","59,1","262,8","235,48","135,06","293,34","79,581","171,16","200,9",237,"45,21","34,63","227,65","65,76","197,37","1,096","7,57","0,815","2,85"
"128,98","148,13","474,24","158,3","168,51","317,81","78,77999878","97,96","97,25","237,57","155,710495","373,33","507,95","44,576","50,56","267,52","2221,27","22,65","50,14","134,69","641,1300049","51,52","364,01","30,2175","232,24","45,36","90,437","31,9967","84,875","80,14",167,"104,25","112,43","92,66","141,22","29,85734749","58,3","25,24","29,634","62,51","88,336","87,8145","196,3807729","506,55","362,3346304","51,54","372,34","271,2167","31,36","32,85","289,11","267,53","51,648","361,66","128,66","73,905","361,46","57,09","1761,55","256,84","46,47","117,26","50,24","217,49","78,67","49,91","13,6215","173,21","202,34","36,05","32,25533333","60,8",91,"39,20886667","172,49","142,09","237,5","156,11","502,92","438,53","120,87","104,6","59,4","260,43","230,67","132,93","270,3967","77,929","171,31","197,87","234,64","47,7","35,13","228,83","64,4","198,7","1,077","7,64","0,843","2,91"
"128,8","160,8","471,65","159,09","169,06","320,13","77,84","100,01","95,355","236,59","156,0415","373,27","513,93","44,939","50,29","267,39","2196,34","23,04","49,21","133,72","621,4899902","50,01","364,2","30,4575","233,59","45,79","88,229","31,9633","84,8675","79,64","191,99","105,58","114,18","90,0425","139,06","30,01426506","62,87","25,81","30,582","62,08","87,3275","86,8715","196,8708765","496,73","351,4396887","53,24","365,67","262,81","31,36","32,18","290,99","266,62","53,644","356,93","127,39","74,66","370,8","57,32","1810,09","251,09","46,99499893","124,55","50,64","214,93","79,46","49,425","13,48475","176,08","203,35","36,41","33,02666667","61,74665","90,72","39,76","169,48","141,43","237,64","154,45","505,75","429,99","121,16","102,82","58,8","258,58","234,19","128,69","283,1467","80,56","172,3","196,64","229,38","47,96","35,3","225,62","63,4","205,9","1,11","7,67","0,841","2,91"
"130,89","169,99","472,05","158,48","164,66","314,33","78,15","98,05","91,78","237,74","158,2944946","375,58","514,06","45,121","50,88","266,67","2182,42",23,"49,26","134,12","618,0100098","50,16","366,95","29,775","226,42","45,36","89,187","31,5467","83,9525","79,61",198,"104,85","112,47","90,6375","136,34","30,52781677","61,54","25,35","29,58","61,54","87,72","87,3625","195,1178134","497,58","352,1400778","56,95","364,96","270,4833374","31,66","32,01","290,1","267,73","52,65","352,14","126,51","75,35","375,81","57,37","1798,19","251,64","45,93500137","124,06","50,24","216,34","79,91","50,779","13,53175","177,42","200,96","36,99","32,18733333","60,96665","89,56","39,53333333","164,8","142,59","244,9","157,42","511,9","413,15","119,16","102,89","58,9","257,14","229,87","128,5","284,8033","78,545","171,41","196,88","227,1","48,94","36,69","229,07","65,01","207,08","1,08","7,69","0,809","2,92"
"128,91","180,5","463,27","159,46","161,91","311,11","78,83","105,8","90,79","241,66","156,3735","369,05","544,65","45,207","51,29","280,29","2182,59","23,71","48,72","135,4","623,0900269","49,58","362,35","29,315","225,62","45,15","86,828","31,1633","81,785","80,05","207,24","101,84","109,97","88,02","138,94","30,3708992","61,93","25,16","29,506","62,4","87,009","86,546","196,6163996","488,9","360,9338521","59,25","365,51","265,7133179","31,54","32,08","303,88","263,69","55,779","347,73","128,93","76,64","364,46","57,31","1852,53","245,64","45,68","129,72","51,31","213,02","81,3","50,086","13,20025",180,"207,51","37,9","31,43333333","60,52665","88,07","39,67113333","167,26","141,76","242,06","160,85","517,91","407,41","117,07","101,82","58,3","257,91","222,97","124,69","281,6667","77,53","171,71","193,88","226,12","49,32","37,25","227,33","63,56","209,87","1,066","7,65","0,856","2,91"
"127,14","169,27","458,08","157,75","161,12","308,51","80,47","103,14","88,21","245,49","155,2124939","364,28","527,5","44,585","51,34","275,84","2119,23","22,87","48,59","134,64","628,9099731","48,69","362,16","28,945","219,51","45,43","85,372","31,14","81,5175","80,24","187,15","99,84","108,34","88,55",139,"30,92724609","59,235","25,24","29,306","63,33","86,8095","86,381","194,128181","489,46","366,0992218","57,58","371,01","259,4733276","31,86","31,99","304,13","258,09","54,753","344,5","126,8","74,28","361,26","57,22","1851,78","251,36","45,82500076","129,65","50,77","212,65","80,72","49,798","12,8595","172,22","207,39","36,71","31,11266667","60,81165","88,37","39,1822","161,2","141,39","239,79","157,09","517,93","411,62","116,97","102,33",58,"258,92","222,93","127,28","275,3867","78,536","169,19","190,02","225,55","48,92","36,76","222,56","64,96","211,06","1,051","7,51","0,805","2,89"
