requestedTicker,name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AAPL,APPLE INC,AAPL,320193,037833100,NASDAQ,False,Domestic Common Stock,Technology,Consumer Electronics,3571,Manufacturing,Electronic Computers,,Computers,USD,California; U.S.A,a43c3ffca9b4a0be9cee4fa1120832a2
ABBV,ABBVIE INC,ABBV,1551152,00287Y109,NYSE,False,Domestic Common Stock,Healthcare,Drug Manufacturers - General,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Illinois; U.S.A,7f3378559e802bc46208d5acc225ea80
ABT,ABBOTT LABORATORIES,ABT,1800,002824100,NYSE,False,Domestic Common Stock,Healthcare,Medical Devices,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Illinois; U.S.A,1f97b5570c1cfd7009b9f8d5825d8f28
ACN,ACCENTURE PLC,ACN,1467373,G1151C101 G1150G111,NYSE,False,Domestic Common Stock,Technology,Information Technology Services,7389,Services,Services-Business Services Nec,,Business Services,USD,Ireland,49adb1202854fc505ed182baf4e92013
ADBE,ADOBE INC,ADBE,796343,00724F101,NASDAQ,False,Domestic Common Stock,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,USD,California; U.S.A,08774beedc7bd5d41d83d0757ec98e5a
ADP,AUTOMATIC DATA PROCESSING INC,ADP,8670,053015103,NASDAQ,False,Domestic Common Stock,Industrials,Staffing & Employment Services,7374,Services,Services-Computer Processing & Data Preparation,,Business Services,USD,New Jersey; U.S.A,72d26107d94093bc0e9b1b203f66bfd9
AMD,ADVANCED MICRO DEVICES INC,AMD,2488,007903107,NASDAQ,False,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,23028b66769a0417ed09589d6be2666c
AMGN,AMGEN INC,AMGN,318154,031162100,NASDAQ,False,Domestic Common Stock,Healthcare,Drug Manufacturers - General,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,California; U.S.A,4aa1d8c730cba5eadda210687e44b608
AMT,AMERICAN TOWER CORP,AMT,1053507,03027X100 029912201,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Specialty,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Massachusetts; U.S.A,8423b37018e2fa1da7ecd60e7b11d9d7
ASML,ASML HOLDING NV,ASML,937966,N07059210 N07059186 N07059111,NASDAQ,False,ADR Common Stock,Technology,Semiconductor Equipment & Materials,3559,Manufacturing,Special Industry Machinery Nec,,Machinery,EUR,Netherlands,54f5cb1235dc380b6a51d39e44f35eec
